,Content
4708,Ta39l nhar khdmnaha nta loup w ana sv w nl3bo fira7ba 🤣
4709,B3tolna les grp ?
4710,They won’t
4711,Chouf google groups :))
4712,I found only the ones of last year
4713,M g6 btw 😎
4714,We don’t care 🤷🏾‍♂️
4715,After the first month u will
4716,Wch lfayda mata9rach nhar w tokhrej 2 days at 6
4717,Ana mana9rach nhar w kol youm nokhrej at 11:40
4718,Troh ldarkom
4719,Wow crazy 😱
4720,Mdrrr expected jealousy
4721,💀
4722,Wait wait yak nta g2 ? Kifah hadi mateqrach nhar ? 🥲
4723,aaaah sunday fih ghir lectures 🥹
4724,merouane y9ra f group merouane .. g2 lectures excluded  HH
4725,Ana ne9ra m3a marouane tani 🥹
4726,<@898608462358007820> lgit whda mch nti essmha anais 😭
4727,I prefer neqra 2 days hetta 20:00 w neddi weekend 4days khir maneqra 5days chwi chwi
4728,Ahchmou chwiya
4729,Our feelings 🥲💔
4730,Ma3lich ay least 3endkom good teachers
4731,Omg ra7et lhiba  khlas😞
4732,Mch hadik ta3 nano ?
4733,Lala
4734,Wdok iktachaft bli hadik tae nano mch nti 😂
4735,I thought it was u all the time
4736,Hta dok she sent f announcement glt aw kifh 😂
4737,لاقراف كاينة اليوم ان شاء الله ولا لالا
4738,Eyyo
4739,ما تسقسي علينا ما مالو
4740,ديركت تحوس على الاضراب
4741,رحيم باينة تحرقو لي كابل تاع الانترنت عندكم في الشلف من السخانة
4742,نجي اليوم ان شاء الله ونكرهوا من بعضانا مكلاه نسقسي
4743,هاك تشوف نكر العشرة
4744,ايا رواح راوح نستقبلوك
4745,تسما ندخل للشومبرة نورمال ني قراف ني والو
4746,بوجهك ولا بالشاورما
4747,واه. خاطش مسقسيتش علينا
4748,شاورما راهي زادت غلات
4749,لالاااا
4750,احلف
4751,راح دورها كاران وصاي
4752,ديجا وجهي خير مل شاورما تاعك
4753,Spaghetti hair
4754,رامن
4755,ايا بلع ايا
4756,وش راك تتعاطى
4757,علاه الكاران شا خصها
4758,ماخصها والو بنة وسومة
4759,سبيدي حبس كاران
4760,مضادات الاكتئاب
4761,خيانة تصرالو كيما لاروكا كي حبس فريت اوملات وخطاه الغاشي
4762,الاخبار السيئة تتهاطل كالامطار يادرا التعبير
4763,الماكلة التي تكافئ القط كحيوان من ناحية الكياتة و الوفرة
4764,رزقي الفرزدق
4765,رائد 3 حوايج ماتخربلوش فيهم: الريسطو القطوط اناليز
4766,نكذب عليك كون نقلك فهمتك
4767,زيدلها رحيم باه ما يزعفش
4768,كون تزيدها نتوسوس
4769,صيف كامل ونتا تشرلي
4770,خاطيني انا
4771,الكران راهي قط بصح ف dimension w7dakhora.
4772,Plan organique
4773,سما علابيها قطعت موليتش تسقسي😂
4774,عندي الصح
4775,لا. معندكش دليل قاطع
4776,نتا اعترفت ضمنيا
4777,من هاذي الجملة زعما؟
4778,
4779,ايه
4780,ابتلينا بقوم
4781,كحل كحل رحيم على المنطق
4782,لا رحيم. تماك لم يكن اعتراف انما ادراكي لشكوك خلاني نربط الامور
4783,بوزي صوالح كبار عليك ذوك
4784,بلع
4785,خنزتنا
4786,نفكرك كي كنت نقدملك دروس في طريق تيكجدة
4787,كوبي رايت لالياس
4788,درس تاع كفه تحشيها لروحك بلي كاين ثلج و هي مكانش
4789,درس تاع كفاه تقنع الكفار بلي كي تطيح عندهم شتاء مشي معنتها ربي راضي عليهم
4790,لا بوزي مفهمتنيش. المشكله اصلا مكانتش تم
4791,ايوب جا لاح بومبا وعاود راح
4792,بلع بلع ماهتما غاندي تاع مستغانم
4793,بوبا طلبق بومبا
4794,بصح بومبا خانزة
4795,ماهتما باندي
4796,غاندي خاطيه ai
4797,غاندي غير تاع ملح
4798,ونتا خاطيك الثورة
4799,"ايا هاك درس تاع كبار في خاطرك:""ممنوع الخروج على الحاكم"""
4800,كي يشبعك الحاكم كف ثاني؟
4801,في ذيك الحالة كاين بند يقولك نخلو لي سموهم عبد النور و يعيطولهم لبوزي يتولاو القيادة
4802,اواه القيادة لا تعطى تؤخذ
4803,لا بوزي استعقل
4804,اواه ماقنعتنيش
4805,"ليك شا راهم مبرمجيني نقول في ذو الحالات:""الحكمة ليست ملكة الكل.. فأما الحكمة التي يعسر على البعض فهمها و على البعض تيسرت فانها حكمة في مواضع الحياة العامة.. و أما تلك التي لا يمكن فهمها فهي ليست حكمة مالم يتنفع بها"""
4806,صدق الذي قال : خذ الحكمة من أفواه المجانين
4807,غادي تتبدل ممبعد و تولي خذ الحكمة من أفواهl cyborgs
4808,متخربش فالتاريخ
4809,منيش نخرب ف التاريخ. راني نخرب فل مستقبل
4810,التغيير يكون في حاجة صرات الأصح راح تخرب فالماضي
4811,هذا الذي تصف هو تغيير للشي و ليس تغيير للتاريخ. فلو كان تغيير الشي يعني تغيير التاريخ. لما وجد التاريخ اصلا لان كل الأشياء تتغير من أساسها فهو جزء من جوهر وجودها.؛؛
4812,
4813,g6 dk ychriiwk
4814,Afdal jouamaa f denya
4815,+another week
4816,Galkim mat9rawch?
4817,Choufi e-mail 😭
4818,Aah ok
4819,الخاوة حتى وبغاو يقريونا مايقدروش  + وجدو رواحكم تحوسو على اومفي 5 و اومفي 7 ....
4820,Matlgawhmch bech mn9rawch
4821,Aelah madaroulnach opening ceremony
4822,Here we go again
4823,
4824,Mahelma 05
4825,Nwlo ghoraf tolatiya
4826,
4827,Wahed yhawess kerya f sidi Abdellah w say
4828,
4829,اللي تدبري كاش خطرة راهو واجد في القطب
4830,تدبرس
4831,Mahelma 5 l3am ljay ymedouha l adabiyat jdad
4832,L 3am jay y7awzona wa9il 💀
4833,bonne rentrée guys enjoy
4834,Merci 🫶🏽
4835,Ki 9raya bdet sketou ge3 hna !
4836,Ak tchuf 💀
4837,Ana jit nchouf news about the teachers w les sections w les amphis mais biensur makanch li yahder
4838,Ana mazal 6am3a yzidouna smana
4839,Nti 9riti? Ki banolek modules te3 lyoum? I need an insight
4840,Ah 💀
4841,Ani fdarna
4842,Eeeeh
4843,🤝
4844,3ndk l module ta3 stochastic modeling 5amem mn DK kfah ra7 t3awedou b les autres module ki3adch manach 7a njibou mli7 fih 🥲
4845,Math ta3 denya ga3 dakhla fih even OR 💀
4846,<@638828933936316434> matala3lnach Lsoug la yzwjk
4847,Wa9il li tjih f rassou idee ta3 école ydirouha
4848,A khawti kamel njibou 5 w safi 😊
4849,LEMOJI
4850,Wlh manediti kraht😭
4851,Dart lyam dok ntouma twelo tel3ouli soug
4852,noob
4853,
4854,Internet in the school ✨
4855,Ethernet ?
4856,Yes
4857,Niiice ✨
4858,WiFi is not available for now
4859,Ma3lich qowa ✨
4860,upload chhal?
4861,5rjt mn l'école I can't check now
4862,Tbali jwayeh 200 300 kima syitou gbil Don't remember exactly how much
4863,upload 200 f dzair? you sure??? 💀💀
4864,upload machi download
4865,https://www.speedtest.net/
4866,Upload ken 100mbps l3am lifet so normal ya mouhaned
4867,F had site ta3 l upload Hiya li ydirouha bl purple?
4868,If yes I remember Wslt fog 500 sa3at
4869,W average 200 300 as Chaker said
4870,Maytl3ch fo9ha bsh 100 w maylh9ch ykon 80-90
4871,machkiitech ylha9 100
4872,bof I saw better 🙄
4873,Yeah fl Europe bessa7 🙂
4874,Guys chkun rah ltht fla cour
4875,🥲
4876,Why?
4877,Knt rah nb3t dawriya lbrahim
4878,Bsah cbn he answered me thank u
4879,Ki tle3t bah cheft l mssg 🥲
4880,It’s okeey sahiti
4881,💀💀
4882,1Gbps univ grind XD
4883,Khawti shkoun baghi ybdl lgroup 5
4884,Me 🥺
4885,RIP group 6🥲
4886,ther still a hope <:pepecry:979070412124213279>
4887,Chkon rah ystechfa : no one except jme3t g4 😹
4888,Bedlou program? 😭
4889,"Yes, They made it worst"
4890,Thank u Farouk 😭
4891,Program nta3na is now way better😭
4892,https://tenor.com/view/we-good-thumbs-up-lost-jin-gif-8123876
4893,KARMA IS REAL 😼
4894,Sber nzid haja
4895,Li qraw m3akoum kifeh 😭
4896,chkoun bgh yji l g3 😎
4897,Matjich nta demi mal 😂
4898,Shab g1 😂😂
4899,Li kanou rayhine yeddou Tuesday as a break in the middle of the week 😂
4900,Ma3endou heta ma3na l'emploi du temps jdid
4901,One session 7atinha fi NS el nhar  🥲
4902,<@879496652887556117> we need to fix this
4903,Me
4904,
4905,
4906,
4907,t7esshoum ye9raw par facilité
4908,Lkhmis 3chiya 😭
4909,"Lprblm 3andkome 5 hours in a row bouchrika b larab3a, w 5hours in a row sami bal 5misse"
4910,"I don't care, I wanna free monday"
4911,العشوائية :
4912,Prblm ta3koum bark is the lab f lekhmis 🥲💀
4913,3chiya
4914,chkoun baghi yji l G3 HHHH
4915,"Nchoufo brahimi nriglo hdk ywali program chbb, ma3andnach kml l 3chiya manghire l 5misse"
4916,G3 is the new G6
4917,Ana habit
4918,3lah wachbih G2 🙂
4919,matqerrinach mert remita 🙂
4920,Chefti lundi
4921,+ 3endhoum lkhmis prsq faregh f g3
4922,"Faragh, l cours transparent"
4923,I don't attend les cours 💀
4924,Nrml for me like lmouhim machi labs wella
4925,+ maybe we can negotiate for this
4926,"Farouk now: The term ""cours"" is not recognized Do you mean empty?"
4927,"Not for me, ya ne9ra sbah ya mane9rach"
4928,بهاذ اللوجيك حطو مرت ريميتا لغروب 6 على الثمنية بالاحد
4929,g3 3endhoum td bark ta3 45 min 3chiya 🥹
4930,"Oh true, at 4"
4931,Bsh machi nhar kamel faregh w yebdaw ye9raw 3la 1h30
4932,Being delulu is the solulu
4933,Dérangement drct
4934,nhar kml yrohlek wnta 9a3ed stuck tkhemmem bli 3ndk session
4935,And it's at lunch time
4936,Nadjib khreblou fi koullech ghir weqt lmakla 😂
4937,Thursday
4938,You can attend this session in Monday morning M3a G4 and skip it f sunday so its not a big problem
4939,Wesh our group is full
4940,Ddar si mouh waqil 🫤
4941,I did that a lot last year
4942,Last year ga3 dernaha
4943,"W this year tani, surtout M3a les programmes chbab ta3houm"
4944,Chrob w roh
4945,Apparemment makanch li kan hakem lgroup ta3ou last year 💀
4946,Ana 🤷‍♀️🥲
4947,Smhna brk
4948,Rak msameh à shaybi
4949,G3 3endhoum best timetable
4950,"Hadi dar sali7a, tdkhel tdi 6ri7a"
4951,Tsema raki ga3da
4952,Yeaah
4953,<@578643557351555113> hna bdlouna?
4954,Bdloulna yaeni
4955,Yeah
4956,Timetable ta3km Wella chbab
4957,Yeah
4958,Q3ed ghir hadak khmis 3chiya 😡
4959,Naryy
4960,Aya Saha 3a 8 Ani 3ndkom
4961,Arwah wehdek berk
4962,Byna haytb3ouni😂
4963,Guys quick question!
4964,For mobile dev yak teams from the same group right ? 🥲
4965,Larbiiiiii
4966,Yes
4967,Thank u
4968,Anytime
4969,heya new delegue te3 g3 fada3 3la 7o9o9na bech mayjouch lina outsiders
4970,1- dafa3 Machi fada3  2- new délégué = old délégué = <@681238662453002271>
4971,chkoun nbi3lo plaça f G3?
4972,la2
4973,Ok
4974,Kayen li 7ab
4975,زاكي راني حاسو مارقدش ليلة كاملة ومبعد كتب هذا الميساج
4976,Fada3
4977,Ew! Ana li andi mshy 3amel hek
4978,ew! tle3ti ga3 lfouq xD
4979,يحبولنا الخير باه مانطيحوش فلاشان تاع الريسطو (راني نصبر في روحي)
4980,Khawti moderations plz hotolna ga3 text books 🥹
4981,True 🙂👍
4982,Anyone awake aendi sou2el 🥲
4983,Welaw yorgdo bkri
4984,Nhar jit ana nsse9ssi  snn ydlou hna 💀
4985,Kchma tshaki?
4986,imed rajol lmawa9if sa3ba
4987,Manich 😂
4988,imala tsb7 bkhir
4989,Chabiba ay tbakar
4990,Knt hanss9ssi ila galoulkum jibou chi haja f idara
4991,nta hwa chabiba ana heda win 7nr9d
4992,Ak Tchouf
4993,Magalouch nrmlm
4994,Dhart ana mala chabiba
4995,Ça fait plaisir bsh
4996,Hah rouh tourgued
4997,Guys who wanna go from group 4 to group 5
4998,<@953769659642044546>
4999,Khlas she changed
0,كاين مصلى في ايكول؟
1,Good question
2,ig no but i personnally pray in empty rooms kaynin bzaf specially f last floor
3,"Wach 9olna fiha 😎 <@681238662453002271>, ya DÉLÉGUÉ number 1"
4,🥲
5,تحيا العهدة الثانية
6,Zaki rajol mawa9if sa3ba
7,I am the real delegate never forget this
8,Kayna
9,"Maci kayan, إنها"
10,Batelt 😐
11,chute
12,ew
13,Khawti li aendhum la switch ahi normal !
14,ooredoo in general ig
15,Smtouha
16,except when nhot lphone dakhl lplacard xD
17,Idk bsah aendi worst glt balek
18,When 9rib ytih mn l balcon
19,"it woz much cooler last week, had semana barely can do a thing"
20,Sending a msg tb9a 5min hta nbtl mnou
21,Ykho 🙂
22,🤡
23,bouloulou
24,<@700379394383937607>  dirna application chabba kima nta
25,l'app Lchaba li kima ana be like:
26,"it is a little bit more handsome than u but it's okey, we can consider is as o(Marouane)"
27,Choose
28,from the red ones only
29,"calm down it's me who gave u the perms u, I am ur sensei, I sacrificed myself to save the train, I ma your rengoku, so show respect u little admin"
30,يا أيها الناس، أنظروا إلى مروان كيف يتعامل مع سيده
31,i miss throwing water on your clothes from my balcony
32,I AM STILL UPSET
33,but bcz of u I bought new ones :')
34,you had to be aware ana khatini
35,so I'm happy
36,I wish one day someone will trough his toilet water from balcony u stupid idiot
37,that red and black chemise is from 2005 happy for you that you changed it
38,nevegh
39,i only live in the high floor xD
40,4th floor for the 3rd year
41,I was about to say something but  I instantly regretted it XDDD
42,ahdar brk
43,not in public chat lmao
44,Nary chaeb gae mrwh ghi hna n9raw
45,🤡🤡🤡🤡
46,Lyoum nefrouha m3a brahimi
47,مواطن من بجاية
48,<@578643557351555113> if we were programming languages we would be C bcz u r pointing to my heart
49,Daddy 🤡
50,bahdeltna.
51,Bell3 nta 🤡
52,at least my words are original
53,+1
54,error: trying to sum between string and int
55,Rak sur t9ra 3eme année
56,look ur profile pic before talking
57,js allows u to do that lol
58,pls don't mention that shit
59,ur biassed
60,he us right
61,is
62,ur like it
63,biaaaaasssseeeed
64,go play barbie wlh
65,<@201373829380046849>
66,yes
67,welo
68,<@201373829380046849>
69,ur attacking me since u already lost the debate lol
70,go play with raid
71,<@201373829380046849>
72,your name became simple villageois
73,I will chew ur meat
74,hella sus
75,"u r using Js as an argument, u lost already mentioning that shit"
76,متعصب
77,I take u 2v1
78,hh
79,poor reasoning
80,u r poor
81,you are bourgeois
82,yes me but not my reasoning
83,hh
84,ofc
85,bye
86,didn't meant money
87,u r poor in person
88,-1 enemy
89,ki tji l dzayer gouli rayane
90,inchaa allah
91,I will come taking back my rights of delegate
92,I thought khellit some good delegates apparently Walo...
93,I will train u chwiya
94,😑🤨
95,DW tsra
96,ask my group
97,✨
98,I will ask everyone 👀
99,yep
100,the other one went playing barbie
101,good
102,أحمد محسن
103,wesh
104,Cha ys9sina ?
105,it was fun نجوز الوقت بيك time to go
106,it was fun fighting in 2v1 but I need better enemies
107,is he a good delegate
108,مواطن من ا**رائيل
109,Nary 3lik 😆
110,مستوطن😂
111,محتال 💀
112,free Palestine
113,Lyouma kano 4 b 20 f ghaza
114,G6 3endkoum obsession b chachya bidha 😭
115,حراق من عنابة
116,2 hours trip hearing: aaa khoooyaaa i khalini nrayah jihat al ta9aaaa
117,Chkon Ada😂
118,Marouene Khoya ahchm lnbda 😂
119,Makalah tbda hadi w khlas bch nfkrk bel ayam Ljamila 😂
120,😂😂
121,لاجئ من النيجر
122,Wach njbd ta3 Lcascade wl
123,Lala whda b whda
124,😂
125,Rak bogoss
126,احسن لاجىء
127,The best ever
128,if it's u who say it it is going to garbage
129,Khawti chkou rah berra wela kharj
130,Nhtajou dawa2 :))
131,Snn chun aendou dysentil
132,"Kyn chkon bara , ngoulhm ychriwlk ?"
133,What is that😭
134,🤨🤨
135,khawti chkoun yeqra 3éme w 3endou les cheuveux bouclés w moutadayin xD
136,
137,not ya
138,ch3ar faycel
139,3la 17h ahbto la cour ngablo modira hadik 3la jal lma w restau
140,It's that time of the year 😭
141,Hiya haba tsma3 mena kamel gatlna rakom tjiw ghur fi chwi mela lyoum nroho ga3
142,<@681238662453002271> rigel rigel
143,نوضو يا أهل الجنوب اليوم تتڨلب
144,"kheli 6, 5 ani mchghoul"
145,6 modira troh
146,imal ro7 nta
147,Ana kol youm rani nroh
148,يا عيماد 😂😂
149,عماد كون زاد شوي راهو ناض ضربها 😂🙄
150,What happened
151,
152,l3achwi wla therapist
153,Ewwww
154,Can u like imagine
155,I can’t see him as a teacher alors la therapist 😭
156,Tji nta ta7kilo y3achi howa ya7kilek 7yato w g3 wsh dar f Malaysia 💀
157,W yzid yro7 ybiye3 lguessoum
158,Hada te3 cpsct?
159,yes
160,Tgoulou rani neqra ou manjibch ygoullek saha b wach rak tekhdem b left wella right brain
161,me: what brain?
162,"damn,"
163,https://tenor.com/view/patrick-bateman-stare-into-your-soul-gif-25900582
164,Telling him my problems
165,
166,chkun hada
167,Profs Ta3 l’esi zou3ama 😭
168,@brahimi
169,Hsbtli aendna hanglk khlat
170,والله نورمالمو غدوا مانروحوش نقراو ونروحو للمسيرة
171,😔
172,"It all started when we had module called ""Cpsct""...."
173,7na Sami 3awdlna f w9t lmassira ya b3d
174,Lyahoud w ma darouhach 😂🤣
175,<@&879492497586405426> Brahimi said quizz on Saturday
176,W9tch raho nawi y9olna? Nhar sebt sbah?
177,😭
178,Sebt aechiya
179,wow
180,فرض فجائي
181,مراقبة
182,masma3tch
183,Chkon brahimi
184,Yarebi khla3tni m3akom 😭
185,"brahim brahim Machi brahimi
 Tla9a m3a larbi f lil w galou arwa7 ndirlek quiz kifeh tsewr le7chich bel filtre t3 discotheque"
186,What but they haven't said anything
187,This means that t3 Sami mashi ma3niyin yak?
188,Ghir t3 brahimi ?
189,"I don't have social media
I live in a cave"
190,https://tenor.com/view/snoop-dogg-rap-hip-hop-west-coast-crips-gif-24898891
191,Te3 bouziane :
192,Bouziane koun tsaqsih ygoulek ana wma3labalich
193,https://tenor.com/view/dj-khaled-dancing-dance-dancing-gif-gif-17374355049678501349
194,ta3 chettah ba3da
195,Quizz dimanche
196,
197,
198,no SHEATING plz bch myjich l exam too theoretical 🥶
199,Nifi nifi nifi nifi 😭
200,"الخاوة رانا تلمينا في اكثر من 100 بنادم في لاكور 
كيما علابالكم الاحد اللي فات هبطنا في جماعة للمديرة و كتبنا مجموعة من المطالب ( الما ، الريسطو من ناحية النظافة النوعية الكمية لاشان ، الريزو ..)
مدينالها اجل تاع سمانة قلنالها ماتتريقلش الحالة رح نديرو اضراب 
كيفاش رح نديروه اول حاجة ولحد ما يدخل للريسطو غدوا 
و على ال5 تاع العشية كامل تهبطو لتحت 
و مام وقت الغدا نوقفولهم بصح ماندخلوش 
غدوا رح يجي مدير الخدمات الجامعية يعني راهي فرصة ماتتعوضش 
الفوايي رح يدير تخفيض غدوا 
واحد ما يروح للريسطو"
201,الفوايي مداير حملة تضامن معانا
202,مليح اسيدي
203,Time for <#1000943117802934272> 🫠🫠🫠
204,غدوا الواحد يسلع من عندو
205,Guys don't forget we have a quiz tsema nchoufou m3a timing
206,نقولو لبراهيمي عندنا شغل
207,W hada chghel prioritaire 3la quiz ta3ou
208,"Ana m3ak 🫡
Promotion = 0.01% ( ki chghol el jerthouma elli b9at men detol )"
209,"Salam alikom all , I'm here to annonce that the strike begins now : 
● First wahd mykol fi restau wa9t lgheda w l3cha .
● 2nd 3la 12h nroho jihat restau besah mndkhloch bah nbynolhom rana hna besah mnkloch .
● 3rd 3la 17h kamel ahbto men les chambres ta3kom ndiro ihtijaj nhtaj nchfkom ga3 thema .
● Hderna m3a foyé w 9bl ydir promotion bah y3wna .

Nchalh merbouha !"
210,
211,<@&1022272785491431464> kayna arrar?
212,Yup
213,Haba tkml la série tan
214,5i magalet walou 3la ta3widh hadhak
215,No
216,good
217,
218,لكم الكلمة
219,We should tell him we have a strike
220,"كما قال شاكر
""نقولو للباشير عندنا شغل"""
221,
222,✨ Reminder ✨
223,✨.jpeg ✨
224,"zid:
- la salle d'etude mafihach twabel bzaf (only 4)
- they never fix stuff we tell them to (broken lamps, les douchettes...)"
225,Not us section 1  nkharjou 3la 18.20 lyouma b sebbet lbachir aya zadelna hada quiz ta3ou 🙂
226,Ok
227,"I do agree
like makanch cnx wmakanch win traya7 bah tched cnx"
228,"Foyé promo : 
- Frit kan b 100da rja3 80da 
- Tacos kan b 400da rja3 300da 
- Frit omlat kant 150da rj3at 120da 
- Pizza li kant b 350da trja3 300da 
- Pizza li kant b 250da trja3 200da"
229,<@879494959336677396> ma tensaynach 🙂✨
230,no problem !
231,Rabi ydawem les grêves🥹
232,idk why tfakkart widad fel premiere annee ki srat la greve aya ra7et lel foyer gatelhoum bsa7atkoum
233,https://tenor.com/view/bugs-bunny-looney-tunes-cash-money-counting-money-gif-17544086
234,
235,Trop mims lol
236,الخاوة اهبطو راهو وصل
237,مدير الخدمات الجامعية
238,<@882774339051737109> ديليقي مدى الحياة
239,kech ma ben men la greve te3 bare7 ? ma dertoulnach compte rendu te3 la longue discusiion m3a dcc
240,The result : moudira thawzat 😉
241,الزوعاما ❤️ كل واحد وقف فالاضراب
242,شكون جابو ؟
243,Tla9itha lyoum f itfc wjeha mglb
244,"""Sayida moudira"" wlat simple villageoise"
245,Rah yhkmha ta3 la 2 hata ylgaw wahd mlih
246,لازم يحكمها حسام
247,Hada wech khasni rahim 😂
248,تديرلنا الشوا فالريسطو
249,قوة
250,zou3ama
251,guys site ta3 la bourse wesmou?
252,Progres.mesrs.dz/eminha
253,lazem nsejlo?
254,lazem ndirou?
255,I don’t know
256,Jit nseqsi 😭
257,Ta3ch bourse
258,لي راك تشري بيها بيدون الماء وتيكيات الريسطو
259,Khawti 3awno khokom b resources t3 databases 😔
260,For practice kayen HackerRank 🫶🏽
261,guys chkoun mazel madaresh group data mining?
262,Check m3a mouncef
263,Did he send a form or something ?
264,No
265,"Stoch and mod test, G2, duration:30min"
266,✨ short ✨
267,من وحش نجوز غدوة مال
268,منروحش*
269,the shortest possible test
270,"Short test !
نوال اتكالماي ا نوال
انوال اتكالماي ا نوال"
271,hadi mach nawall btw hada amraoui 🙂
272,T pas eu la ref 😔
273,Girl derna test ?? Noté ??
274,دارو، نتي مدرتيش
275,gallena machi noted
276,aslane mm li darou comme si ma darouch matqelqich baraa 🥲
277,nawal mwalef tdir 7od sghar
278,Thank you 😭✨️
279,"The whole class won't go 
We all stand with our delegate 🫡"
280,To the left to the left
281,
282,"'your job is to automate thing intelligently...', automating things:"
283,Waa nawal
284,"<@879494959336677396> 
Do u have the solution of the test, or at least qstn 3,4 ?"
285,Nope i don’t 🥲
286,Gatlna fel cours beli ha tkhelli test l smana Jaya no ?
287,
288,🥲
289,How much he will pay?
290,<@879796727031422997> ejri
291,Npiratih b volsvagan
292,Ma3youf the new SecAi president 😂✨
293,@ma3youf
294,"Fun fact:
He has access to the teachers channel XD"
295,Awili
296,"For those who don't have the reference
Hada hbibna m3youf,  bnadem who uses a programming language called volsvagen
kan 3ndah cyber café, el internet jayebha men 3nd jarhom, he hacked everyone who came there w min fa9oulah they went l jarhom w hwa hreb
He can also hack phones using Gmail and record videos and audio with phone off"
297,كي يقولك وش يخدمو بالامن السيببراني
298,Hbibna m3youf galoulah I created a cyber security club galli thackou Facebook ? 😭
299,Chargé de cours ta3na f network security nchl 🫡
300,jiboh ydir workshop f secAi
301,كيف تصبح هاكر من الصفر الى الاحتراف
302,بدون روت
303,"Khmmt fiha 
We invite ghir jma3a and ndiroh wasta XD"
304,eda7ko 3lihom
305,عطلة مدفوعة الأجر و يعوضوها ؟
306,The fuck hasbiya allah
307,Group 1 li y9raw nhar lkhmis tp 3end sami w y9raw sebt tp ta3 mobile dev
308,mm group2 neqraw tp net and prot ou zid 3endhoum tp nhar sebt 🙂
309,
310,imma rock w this
311,
312,حا يديروها ڨاع نخل 🥲
313,Haka bch n7ss ani fbiskra brk 😂
314,علاه ما يديروش شجر تاع الورد خير
315,معا لتحويل سيدي عبدالله إلى بسكره
316,hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
317,No Chaker it's just the fact that I love plants
318,Kifah hadi chjer ta3 ward
319,Kayna ghir fi batna hadi
320,Jami chefti chjer ta3 werd
321,كاين نوع منتاشر في دزاير اسمو شجرة الدفلة
322,الورد تاعو باهي و سهل العناية ثاني
323,Ykhah fay7a😭😭
324,Malk a najib
325,واش كاين 😂
326,9olhom laurier rose tban chaba khir mn شجرة الدفلة 💀
327,انا نقرا عليهم بالعربية الله غالب
328,hdak ydiroh 9i f 3yn defla hh
329,3ayb defla 😭
330,Ntouma koulchi 3ndkoum 3ayb
331,No 😭
332,Howa ktebha 3yb defla <@946710636883243029> qolo 😭
333,no .. i did not 😭
334,<@&877880553599303711> please server-log 😭
335,"(it woz a typo, not intentionally)"
336,Yes I know
337,المهم نخل طبيعي
338,Hasbiya allah f Alger 😭
339,"هنا نسكت 
السي خونا جامي شمها واقيل"
340,True
341,"Waleft weather there, ghir dkhlt oran mredt"
342,
343,ورد الحمار 😭
344,حبق الفيل
345,Wech kayan
346,Bouzi wellit moderation belbaraka 3lik sahbi
347,Khti wchmn tabi3i hada l fer9 bino w bin ta3 plastique c que maykhdmoch ta3 plastique psq hada yexisti 💀
348,Aw machi blue ?
349,Lmouhim himayat tourba men linjiraf
350,wth
351,Ya Rebbi khlas
352,Tzre3 nkhel f ness l'autoroute w ness tri9 Bach manjarefch tourba ?
353,Wait 10 years w y6walou 7ta 30 metres then tchouf les dégâts li rah ysraw f l'autoroute ki ydreb ri7
354,10 years we won’t exist there so idk 😭
355,We will be 30 year old wow
356,Too much
357,Nkoun b wladi neddihoum yeqraw nchalah 🥹
358,Ma7ach ytwalo matkhafich 😂
359,
360,we won ❤️
361,Le cours??
362,Piiiii
363,Yes ha tebe3toy tonight
364,✨️✨️
365,Mzya dert aeliya wbaet nta mch ana 😂
366,<@578643557351555113> félicitations
367,Je vous prie chère madame d'agreer l'expression de mes salutations distinguees
368,Bayna t9bel hka
369,Damn 😭
370,Kifeh qdert
371,Psq 3ndk iphone Allah ghaleb
372,"Hi, 
Who's the student who proposed the idea of **phishing websites detectin** in Data mining ?"
373,And rhe student who proposed the idea of **Dark matter detection** ?
374,If u knw them plse tel me
375,I proposed the one of Dark matter detection ...
376,"nicee, was it accepted ?"
377,No. It was not in the course context cuz it requires computer vision techniques which is not covered in the course . But i told sami that there's like csv data not only images he  told me that u can resubmit the proposal with the new dataset ...
378,who has the solution of this 🥲
379,Khawti chkoun 3endou sucre roux 😭
380,Ra7 lmidterm 💃💃
381,Quiz m3w9a 😂😂
382,Mafhmtch aelah kayen bzf thank u f post tae lbachir
383,الغاشي قتلهم الvide وهوما يستناو في الكويز ايا بداو يحطو فيه 😂😂
384,Zidi zidi
385,Khelli zawali ycheyt 😔
386,"lukan mačči d arraw-iw, as fkagh yiwet n lwwunya"
387,A yemma yesker wul-iw yesker s waman n della3 😭
388,"A Yemma Yemma yesker wul-iw s waman n lbirra, nekk yughen yir tamethut segmi ad kker Di verra"
389,Tezrid ruhegh s axxam pendant L weeknd-agi tekcem g uqerruy-iw 😭
390,taqcict negh Les paroles 🤣🤣🤣🤣🤣🤣🤣🤣🤣
391,Les paroles 😭🤣🤣🤣
392,nwighas ttaqcict ikecmen aqqaru inek
393,Zik
394,ahya a l3arvi
395,a l3arvi iyad atensrwech anheddar s teqvaylit
396,كان يا مكان في قديم الزمان
397,amaaaaaacaahuuuuu
398,Ahuuuu
399,sahiiiiitttt
400,zman n zik ✨
401,Akken iqqaren
